<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,240613,000000,317.71
SBER,D,240614,000000,319.35
SBER,D,240617,000000,317.65
SBER,D,240618,000000,314.34
SBER,D,240619,000000,310.7
SBER,D,240620,000000,314.15
SBER,D,240621,000000,314.14
SBER,D,240624,000000,317.25
SBER,D,240625,000000,319.8
SBER,D,240626,000000,324.55
SBER,D,240627,000000,327.16
SBER,D,240628,000000,327.15
SBER,D,240701,000000,327.1
SBER,D,240702,000000,328.37
SBER,D,240703,000000,328.2
SBER,D,240704,000000,324.66
SBER,D,240705,000000,325
SBER,D,240708,000000,324.07
SBER,D,240709,000000,319.99
SBER,D,240710,000000,316.68
SBER,D,240711,000000,295.87
SBER,D,240712,000000,292.21
SBER,D,240715,000000,284.38
SBER,D,240716,000000,285.25
SBER,D,240717,000000,284.68
SBER,D,240718,000000,289.83
SBER,D,240719,000000,289.9
SBER,D,240722,000000,294.71
SBER,D,240723,000000,294.39
SBER,D,240724,000000,295.69
SBER,D,240725,000000,296.37
SBER,D,240726,000000,293.3
SBER,D,240729,000000,286.58
SBER,D,240730,000000,290
SBER,D,240731,000000,289.3
SBER,D,240801,000000,287.21
SBER,D,240802,000000,286.04
SBER,D,240805,000000,275.49
SBER,D,240806,000000,279.4
SBER,D,240807,000000,282.2
SBER,D,240808,000000,281.09
SBER,D,240809,000000,281.44
SBER,D,240812,000000,280.74
SBER,D,240813,000000,283.92
SBER,D,240814,000000,280.32
SBER,D,240815,000000,278.01
SBER,D,240816,000000,274.6
SBER,D,240819,000000,268.17
SBER,D,240820,000000,266.2
SBER,D,240821,000000,266.93
SBER,D,240822,000000,261.6
SBER,D,240823,000000,259.5
SBER,D,240826,000000,265.39
SBER,D,240827,000000,260.5
SBER,D,240828,000000,262.47
SBER,D,240829,000000,260.31
SBER,D,240830,000000,254.45
SBER,D,240902,000000,244.31
SBER,D,240903,000000,244.04
SBER,D,240904,000000,253.01
SBER,D,240905,000000,252.82
SBER,D,240906,000000,254.77
SBER,D,240909,000000,263.31
SBER,D,240910,000000,261.29
SBER,D,240911,000000,258.2
SBER,D,240912,000000,254.93
SBER,D,240913,000000,258.25
SBER,D,240916,000000,263.79
SBER,D,240917,000000,265.99
SBER,D,240918,000000,263.4
SBER,D,240919,000000,264.5
SBER,D,240920,000000,269.08
SBER,D,240923,000000,273.17
SBER,D,240924,000000,272.92
SBER,D,240925,000000,267.8
SBER,D,240926,000000,267.88
SBER,D,240927,000000,268.07
SBER,D,240930,000000,268.49
SBER,D,241001,000000,266.29
SBER,D,241002,000000,259.31
SBER,D,241003,000000,264.25
SBER,D,241004,000000,264.09
SBER,D,241007,000000,263.39
SBER,D,241008,000000,262.4
SBER,D,241009,000000,260.86
SBER,D,241010,000000,259.98
SBER,D,241011,000000,256.94
SBER,D,241014,000000,261.28
SBER,D,241015,000000,262.03
SBER,D,241016,000000,259.5
SBER,D,241017,000000,256.57
SBER,D,241018,000000,257.19
SBER,D,241021,000000,258.21
SBER,D,241022,000000,255.42
SBER,D,241023,000000,252.01
SBER,D,241024,000000,252.64
SBER,D,241025,000000,246.35
